Event.Id,Investigation.Type,Accident.Number,Event.Date,Location,Country,Airport.Code,Airport.Name,Injury.Severity,Aircraft.damage,Aircraft.Category,Registration.Number,Make,Model,Amateur.Built,Number.of.Engines,Engine.Type,Schedule,Purpose.of.flight,Air.carrier,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Weather.Condition,Broad.phase.of.flight,Report.Status,Publication.Date,Total.People,Serious.Fatal.Injuries,Serious.Fatal.Rate,Aircraft.Destroyed,Serious.Fatal,Injury.Rate,Destroyed
20001211X10470,Accident,ATL98LA092,1998-07-04,"GREEN SEA, SC",United States,,,Fatal(1),Substantial,Airplane,N7247E,Cessna,182,No,1.0,Reciprocating,,Skydiving,,1.0,0.0,,4.0,VMC,Cruise,Probable Cause,17-10-2016,5.0,,,False,1.0,0.2,False
20001211X10546,Incident,DCA98WA069,1998-07-20,"AMSTERDAM, Netherlands",Netherlands,,,Incident,,Airplane,N482EV,Boeing,747,No,1.0,Unknown,SCHD,Unknown,,0.0,0.0,,3.0,UNK,Unknown,Foreign,,3.0,,,False,0.0,0.0,False
20001211X10549,Incident,DCA98WA074,1998-07-29,"LONDON HEATHROW, United Kingdom",United Kingdom,,,Incident,Minor,Airplane,N796UA,Boeing,777,No,1.0,Unknown,SCHD,Unknown,,0.0,0.0,,1.0,UNK,Unknown,Foreign,,1.0,,,False,0.0,0.0,False
20001211X11042,Incident,DCA99WA003,1998-09-12,,Vietnam,,,Incident,Substantial,Airplane,,Boeing,767,No,1.0,Unknown,SCHD,Unknown,,0.0,0.0,,200.0,VMC,Unknown,Foreign,,200.0,,,False,0.0,0.0,False
20001211X11142,Accident,MIA98WA258,1998-09-28,"MISSING, Bolivia",Bolivia,,,Fatal(7),Destroyed,Airplane,,Cessna,U206G,No,1.0,Unknown,,Personal,,7.0,0.0,,0.0,UNK,Unknown,Foreign,,7.0,,,True,7.0,1.0,True
20001205X00483,Accident,IAD99WA071,1999-04-24,"Georgetown, Guyana",Guyana,,,Unavailable,Destroyed,Airplane,,Cessna,172M,No,1.0,Unknown,UNK,Unknown,,0.0,0.0,,0.0,UNK,Unknown,Foreign,,0.0,,,True,0.0,0.0,True
20001212X18965,Incident,DCA99WA062,1999-06-09,"TEGUCIGALPA, Honduras",Honduras,,,Incident,Minor,Airplane,N697AN,Boeing,757,No,1.0,Unknown,SCHD,Unknown,,0.0,0.0,,94.0,UNK,Unknown,Foreign,,94.0,,,False,0.0,0.0,False
20001212X19018,Accident,LAX99FA220,1999-06-19,"PASO ROBLES, CA",United States,PRB,PASO ROBLES MUNICIPAL,Fatal(4),Destroyed,Airplane,N4824D,Cessna,182A,No,1.0,Reciprocating,,Skydiving,,4.0,1.0,,0.0,VMC,Takeoff,Probable Cause,17-10-2016,5.0,5.0,,True,5.0,1.0,True
20001212X19077,Accident,MIA99LA192,1999-06-30,"ROCK SPRINGS, NC",United States,,,Non-Fatal,Substantial,Airplane,N4784N,Cessna,182Q,No,1.0,Reciprocating,,Instructional,,0.0,0.0,,3.0,VMC,Climb,Probable Cause,21-04-2016,3.0,,,False,0.0,0.0,False
20001212X19373,Accident,SEA99LA118,1999-07-14,"OPHEIM, MT",United States,,,Fatal(1),Substantial,Airplane,N4385Z,Piper,PA-18-150,No,1.0,Reciprocating,UNK,Aerial Application,,1.0,0.0,,0.0,VMC,Maneuvering,Probable Cause,12-12-2011,1.0,,,False,1.0,1.0,False
20001212X19475,Incident,DCA99WA080,1999-08-24,"COPENHAGEN, Denmark",Denmark,,,Incident,Minor,Airplane,,Boeing,767,No,1.0,Unknown,SCHD,Unknown,,0.0,0.0,,191.0,UNK,Unknown,Foreign,,191.0,,,False,0.0,0.0,False
20001212X19754,Accident,FTW99FA261,1999-09-18,"BRYAN, TX",United States,CFD,COULTER FIELD,Fatal(5),Destroyed,Airplane,N4803D,Cessna,182A,No,1.0,Reciprocating,,Skydiving,,5.0,0.0,,0.0,VMC,Takeoff,Probable Cause,17-10-2016,5.0,,,True,5.0,1.0,True
